nrg_bal,siec,OBS_VAL
PPRD,TOTAL,17985050.336
PPRD,C0000X0350-0370,1371368.986
PPRD,C0110,0.0
PPRD,C0121,0.0
PPRD,C0129,0.0
PPRD,C0210,0.0
PPRD,C0220,1371368.986
PPRD,C0320,0.0
PPRD,C0311,0.0
PPRD,C0312,0.0
PPRD,C0340,0.0
PPRD,C0330,0.0
PPRD,C0350-0370,0.0
PPRD,C0360,0.0
PPRD,C0350,0.0
PPRD,C0371,0.0
PPRD,C0379,0.0
PPRD,P1000,61361.065
PPRD,P1100,61361.065
PPRD,P1200,0.0
PPRD,S2000,125271.739
PPRD,O4000XBIO,454821.54
PPRD,O4100_TOT,361336.175
PPRD,O4200,6601.545
PPRD,O4300,0.0
PPRD,O4400X4410,86883.82
PPRD,O4500,0.0
PPRD,O4610,0.0
PPRD,O4620,0.0
PPRD,O4630,0.0
PPRD,O4652XR5210B,0.0
PPRD,O4651,0.0
PPRD,O4653,0.0
PPRD,O4661XR5230B,0.0
PPRD,O4669,0.0
PPRD,O4640,0.0
PPRD,O4671XR5220B,0.0
PPRD,O4680,0.0
PPRD,O4691,0.0
PPRD,O4692,0.0
PPRD,O4695,0.0
PPRD,O4694,0.0
PPRD,O4693,0.0
PPRD,O4699,0.0
PPRD,G3000,1482580.676
PPRD,RA000,7229455.215
PPRD,RA100,813419.413
PPRD,RA500,1796.27
PPRD,RA300,1098092.152
PPRD,RA420,398052.078
PPRD,RA410,186298.809
PPRD,RA200,276849.884
PPRD,R5110-5150_W6000RI,2652945.483
PPRD,R5160,0.0
PPRD,R5300,518270.532
PPRD,W6210,314325.45
PPRD,R5210P,70503.908
PPRD,R5210B,0.0
PPRD,R5220P,462841.725
PPRD,R5220B,0.0
PPRD,R5230P,1034.4
PPRD,R5230B,0.0
PPRD,R5290,19233.492
PPRD,RA600,415791.618
PPRD,W6100_6220,441108.606
PPRD,W6100,132334.418
PPRD,W6220,308774.188
PPRD,N900H,6777880.185
PPRD,H8000,41202.325
PPRD,E7000,0.0
PPRD,FE,3936512.609
PPRD,BIOE,4039154.988
RCV_RCY,TOTAL,39206.516
RCV_RCY,C0000X0350-0370,1116.828
RCV_RCY,C0110,0.0
RCV_RCY,C0121,0.0
RCV_RCY,C0129,331.279
RCV_RCY,C0210,785.549
RCV_RCY,C0220,0.0
RCV_RCY,C0320,0.0
RCV_RCY,C0311,0.0
RCV_RCY,C0312,0.0
RCV_RCY,C0340,0.0
RCV_RCY,C0330,0.0
RCV_RCY,C0350-0370,0.0
RCV_RCY,C0360,0.0
RCV_RCY,C0350,0.0
RCV_RCY,C0371,0.0
RCV_RCY,C0379,0.0
RCV_RCY,P1000,0.0
RCV_RCY,P1100,0.0
RCV_RCY,P1200,0.0
RCV_RCY,S2000,0.0
RCV_RCY,O4000XBIO,38089.688
RCV_RCY,O4100_TOT,0.0
RCV_RCY,O4200,0.0
RCV_RCY,O4300,0.0
RCV_RCY,O4400X4410,0.0
RCV_RCY,O4500,0.0
RCV_RCY,O4610,12026.058
RCV_RCY,O4620,0.0
RCV_RCY,O4630,0.0
RCV_RCY,O4652XR5210B,0.0
RCV_RCY,O4651,0.0
RCV_RCY,O4653,0.0
RCV_RCY,O4661XR5230B,0.0
RCV_RCY,O4669,0.0
RCV_RCY,O4640,0.0
RCV_RCY,O4671XR5220B,943.09
RCV_RCY,O4680,9382.432
RCV_RCY,O4691,302.4
RCV_RCY,O4692,14292.856
RCV_RCY,O4695,702.0
RCV_RCY,O4694,0.0
RCV_RCY,O4693,0.0
RCV_RCY,O4699,440.851
RCV_RCY,G3000,0.0
RCV_RCY,RA000,0.0
RCV_RCY,RA100,0.0
RCV_RCY,RA500,0.0
RCV_RCY,RA300,0.0
RCV_RCY,RA420,0.0
RCV_RCY,RA410,0.0
RCV_RCY,RA200,0.0
RCV_RCY,R5110-5150_W6000RI,0.0
RCV_RCY,R5160,0.0
RCV_RCY,R5300,0.0
RCV_RCY,W6210,0.0
RCV_RCY,R5210P,0.0
RCV_RCY,R5210B,0.0
RCV_RCY,R5220P,0.0
RCV_RCY,R5220B,0.0
RCV_RCY,R5230P,0.0
