nrg_bal,siec,OBS_VAL
PPRD,TOTAL,30875645.354
PPRD,C0000X0350-0370,4248316.058
PPRD,C0110,0.0
PPRD,C0121,435420.28
PPRD,C0129,1175189.167
PPRD,C0210,0.0
PPRD,C0220,2637706.612
PPRD,C0320,0.0
PPRD,C0311,0.0
PPRD,C0312,0.0
PPRD,C0340,0.0
PPRD,C0330,0.0
PPRD,C0350-0370,0.0
PPRD,C0360,0.0
PPRD,C0350,0.0
PPRD,C0371,0.0
PPRD,C0379,0.0
PPRD,P1000,65805.919
PPRD,P1100,65805.919
PPRD,P1200,0.0
PPRD,S2000,125550.465
PPRD,O4000XBIO,3200006.517
PPRD,O4100_TOT,2942925.782
PPRD,O4200,162855.78
PPRD,O4300,0.0
PPRD,O4400X4410,94224.955
PPRD,O4500,0.0
PPRD,O4610,0.0
PPRD,O4620,0.0
PPRD,O4630,0.0
PPRD,O4652XR5210B,0.0
PPRD,O4651,0.0
PPRD,O4653,0.0
PPRD,O4661XR5230B,0.0
PPRD,O4669,0.0
PPRD,O4640,0.0
PPRD,O4671XR5220B,0.0
PPRD,O4680,0.0
PPRD,O4691,0.0
PPRD,O4692,0.0
PPRD,O4695,0.0
PPRD,O4694,0.0
PPRD,O4693,0.0
PPRD,O4699,0.0
PPRD,G3000,3610391.618
PPRD,RA000,10153416.654
PPRD,RA100,1172860.368
PPRD,RA500,1846.638
PPRD,RA300,1553220.52
PPRD,RA420,478630.046
PPRD,RA410,197963.047
PPRD,RA200,289689.123
PPRD,R5110-5150_W6000RI,4072931.897
PPRD,R5160,0.0
PPRD,R5300,704374.7
PPRD,W6210,426606.648
PPRD,R5210P,103880.059
PPRD,R5210B,0.0
PPRD,R5220P,560571.132
PPRD,R5220B,0.0
PPRD,R5230P,1034.4
PPRD,R5230B,0.0
PPRD,R5290,22512.644
PPRD,RA600,567295.429
PPRD,W6100_6220,626812.789
PPRD,W6100,199499.552
PPRD,W6220,427313.237
PPRD,N900H,8799831.03
PPRD,H8000,45514.303
PPRD,E7000,0.0
PPRD,FE,11876883.362
PPRD,BIOE,5891911.477
RCV_RCY,TOTAL,65751.496
RCV_RCY,C0000X0350-0370,23646.684
RCV_RCY,C0110,0.0
RCV_RCY,C0121,0.0
RCV_RCY,C0129,22639.839
RCV_RCY,C0210,785.549
RCV_RCY,C0220,221.295
RCV_RCY,C0320,0.0
RCV_RCY,C0311,0.0
RCV_RCY,C0312,0.0
RCV_RCY,C0340,0.0
RCV_RCY,C0330,0.0
RCV_RCY,C0350-0370,0.0
RCV_RCY,C0360,0.0
RCV_RCY,C0350,0.0
RCV_RCY,C0371,0.0
RCV_RCY,C0379,0.0
RCV_RCY,P1000,0.0
RCV_RCY,P1100,0.0
RCV_RCY,P1200,0.0
RCV_RCY,S2000,0.0
RCV_RCY,O4000XBIO,42104.811
RCV_RCY,O4100_TOT,0.0
RCV_RCY,O4200,0.0
RCV_RCY,O4300,0.0
RCV_RCY,O4400X4410,0.0
RCV_RCY,O4500,0.0
RCV_RCY,O4610,12026.058
RCV_RCY,O4620,0.0
RCV_RCY,O4630,0.0
RCV_RCY,O4652XR5210B,0.0
RCV_RCY,O4651,0.0
RCV_RCY,O4653,0.0
RCV_RCY,O4661XR5230B,0.0
RCV_RCY,O4669,0.0
RCV_RCY,O4640,0.0
RCV_RCY,O4671XR5220B,943.09
RCV_RCY,O4680,9569.952
RCV_RCY,O4691,302.4
RCV_RCY,O4692,17050.409
RCV_RCY,O4695,702.0
RCV_RCY,O4694,0.0
RCV_RCY,O4693,0.0
RCV_RCY,O4699,1510.902
RCV_RCY,G3000,0.0
RCV_RCY,RA000,0.0
RCV_RCY,RA100,0.0
RCV_RCY,RA500,0.0
RCV_RCY,RA300,0.0
RCV_RCY,RA420,0.0
RCV_RCY,RA410,0.0
RCV_RCY,RA200,0.0
RCV_RCY,R5110-5150_W6000RI,0.0
RCV_RCY,R5160,0.0
RCV_RCY,R5300,0.0
RCV_RCY,W6210,0.0
RCV_RCY,R5210P,0.0
RCV_RCY,R5210B,0.0
RCV_RCY,R5220P,0.0
RCV_RCY,R5220B,0.0
RCV_RCY,R5230P,0.0
RCV_RCY,R5230B,0.0
RCV_RCY,R5290,0.0
RCV_RCY,RA600,0.0
RCV_RCY,W6100_6220,0.0
RCV_RCY,W6100,0.0
RCV_RCY,W6220,0.0
RCV_RCY,N900H,0.0
RCV_RCY,H8000,0.0
RCV_RCY,E7000,0.0
RCV_RCY,FE,65751.496
RCV_RCY,BIOE,0.0
IMP,TOTAL,62564483.205
IMP,C0000X0350-0370,3840971.705
IMP,C0110,123285.27
IMP,C0121,1186549.074
IMP,C0129,2203411.257
IMP,C0210,29289.433
IMP,C0220,15148.294
IMP,C0320,3973.779
IMP,C0311,243908.246
IMP,C0312,0.0
IMP,C0340,19317.413
IMP,C0330,16088.941
IMP,C0350-0370,0.0
IMP,C0360,0.0
IMP,C0350,0.0
IMP,C0371,0.0
IMP,C0379,0.0
IMP,P1000,2815.425
IMP,P1100,2046.685
IMP,P1200,768.74
IMP,S2000,0.0
IMP,O4000XBIO,39508823.622
IMP,O4100_TOT,23413810.822
IMP,O4200,319508.701
IMP,O4300,912191.657
IMP,O4400X4410,77217.311
IMP,O4500,15036.014
IMP,O4610,0.0
IMP,O4620,20742.588
IMP,O4630,1008869.89
IMP,O4652XR5210B,1131977.442
IMP,O4651,3375.828
IMP,O4653,0.0
IMP,O4661XR5230B,1636686.379
IMP,O4669,106169.326
IMP,O4640,1836033.505
IMP,O4671XR5220B,5613550.77
IMP,O4680,1669921.347
IMP,O4691,113413.051
IMP,O4692,314408.606
IMP,O4695,256755.361
IMP,O4694,308219.906
IMP,O4693,33215.749
IMP,O4699,717719.367
IMP,G3000,16768936.676
IMP,RA000,1003688.225
IMP,RA100,0.0
IMP,RA500,0.0
IMP,RA300,0.0
IMP,RA420,0.0
IMP,RA410,0.0
IMP,RA200,0.0
IMP,R5110-5150_W6000RI,457893.777
IMP,R5160,13846.856
IMP,R5300,0.0
IMP,W6210,18410.764
IMP,R5210P,73176.935
IMP,R5210B,4995.448
IMP,R5220P,367922.94
IMP,R5220B,36906.624
IMP,R5230P,0.0
IMP,R5230B,0.0
IMP,R5290,30534.883
IMP,RA600,0.0
IMP,W6100_6220,20663.55
IMP,W6100,4520.773
IMP,W6220,16142.777
IMP,N900H,0.0
IMP,H8000,227.077
IMP,E7000,1418356.926
IMP,FE,60698539.542
IMP,BIOE,1146459.664
EXP,TOTAL,21804851.045
EXP,C0000X0350-0370,547080.145
EXP,C0110,25392.598
EXP,C0121,101728.504
EXP,C0129,109655.696
EXP,C0210,11.792
EXP,C0220,13918.029
EXP,C0320,961.869
EXP,C0311,243752.365
EXP,C0312,0.0
EXP,C0340,20694.667
EXP,C0330,30964.627
EXP,C0350-0370,0.0
EXP,C0360,0.0
EXP,C0350,0.0
EXP,C0371,0.0
EXP,C0379,0.0
EXP,P1000,293.409
EXP,P1100,29.124
EXP,P1200,264.285
EXP,S2000,0.0
EXP,O4000XBIO,16546257.22
EXP,O4100_TOT,1929115.628
EXP,O4200,96691.24
EXP,O4300,437634.906
EXP,O4400X4410,29093.963
EXP,O4500,44426.472
EXP,O4610,0.0
EXP,O4620,0.0
EXP,O4630,392809.393
EXP,O4652XR5210B,3628323.449
EXP,O4651,4083.581
EXP,O4653,0.0
EXP,O4661XR5230B,807887.491
EXP,O4669,56384.897
EXP,O4640,1032043.133
EXP,O4671XR5220B,4114111.671
EXP,O4680,1923571.699
EXP,O4691,115097.65
EXP,O4692,377121.859
EXP,O4695,372065.975
EXP,O4694,231064.818
EXP,O4693,26307.665
EXP,O4699,928421.736
EXP,G3000,2766162.705
EXP,RA000,611920.85
EXP,RA100,0.0
EXP,RA500,0.0
EXP,RA300,0.0
EXP,RA420,0.0
EXP,RA410,0.0
EXP,RA200,0.0
EXP,R5110-5150_W6000RI,225393.102
EXP,R5160,1632.174
EXP,R5300,0.0
EXP,W6210,1714.6
EXP,R5210P,40501.833
EXP,R5210B,8205.355
EXP,R5220P,312503.035
EXP,R5220B,20936.35
EXP,R5230P,1034.4
EXP,R5230B,0.0
EXP,R5290,0.0
EXP,RA600,0.0
EXP,W6100_6220,1520.4
EXP,W6100,0.0
EXP,W6220,1520.4
EXP,N900H,0.0
EXP,H8000,74.085
EXP,E7000,1331542.228
EXP,FE,20287067.069
EXP,BIOE,707477.453
STK_CHG,TOTAL,-1255138.842
STK_CHG,C0000X0350-0370,-242581.875
STK_CHG,C0110,-2021.496
STK_CHG,C0121,-26217.87
STK_CHG,C0129,-180066.924
STK_CHG,C0210,5767.505
STK_CHG,C0220,-15882.833
STK_CHG,C0320,421.878
STK_CHG,C0311,-21923.3
STK_CHG,C0312,0.0
STK_CHG,C0340,134.513
STK_CHG,C0330,-2793.345
STK_CHG,C0350-0370,0.0
STK_CHG,C0360,0.0
STK_CHG,C0350,0.0
STK_CHG,C0371,0.0
STK_CHG,C0379,0.0
STK_CHG,P1000,28145.076
STK_CHG,P1100,27811.765
STK_CHG,P1200,333.311
STK_CHG,S2000,-1834.079
STK_CHG,O4000XBIO,-278796.915
STK_CHG,O4100_TOT,-119050.187
STK_CHG,O4200,11556.771
STK_CHG,O4300,-24270.66
STK_CHG,O4400X4410,3745.864
STK_CHG,O4500,0.079
STK_CHG,O4610,0.0
STK_CHG,O4620,-67.843
STK_CHG,O4630,3801.884
STK_CHG,O4652XR5210B,1106.205
STK_CHG,O4651,32.224
STK_CHG,O4653,0.0
STK_CHG,O4661XR5230B,-25577.316
STK_CHG,O4669,2715.8
STK_CHG,O4640,-6453.439
STK_CHG,O4671XR5220B,-89428.726
STK_CHG,O4680,-20106.76
STK_CHG,O4691,-488.059
STK_CHG,O4692,5303.198
STK_CHG,O4695,2822.8
STK_CHG,O4694,-15213.794
STK_CHG,O4693,-75.481
STK_CHG,O4699,-9149.475
STK_CHG,G3000,-753146.181
STK_CHG,RA000,-7086.994
STK_CHG,RA100,0.0
STK_CHG,RA500,0.0
STK_CHG,RA300,0.0
STK_CHG,RA420,0.0
STK_CHG,RA410,0.0
STK_CHG,RA200,0.0
STK_CHG,R5110-5150_W6000RI,-2698.899
STK_CHG,R5160,-80.834
STK_CHG,R5300,0.0
STK_CHG,W6210,-137.878
STK_CHG,R5210P,-739.585
STK_CHG,R5210B,-313.977
STK_CHG,R5220P,-2644.753
STK_CHG,R5220B,-471.619
STK_CHG,R5230P,0.0
STK_CHG,R5230B,0.0
STK_CHG,R5290,0.551
STK_CHG,RA600,0.0
STK_CHG,W6100_6220,162.128
STK_CHG,W6100,212.523
STK_CHG,W6220,-50.395
STK_CHG,N900H,0.0
STK_CHG,H8000,0.0
STK_CHG,E7000,0.0
STK_CHG,FE,-1247453.804
STK_CHG,BIOE,-7685.033
GAE,TOTAL,70445890.167
GAE,C0000X0350-0370,7323272.422
GAE,C0110,95871.178
GAE,C0121,1494022.977
GAE,C0129,3111517.642
GAE,C0210,35830.696
GAE,C0220,2623275.338
GAE,C0320,3433.787
GAE,C0311,-21767.422
GAE,C0312,0.0
GAE,C0340,-1242.74
GAE,C0330,-17669.033
GAE,C0350-0370,0.0
GAE,C0360,0.0
GAE,C0350,0.0
GAE,C0371,0.0
GAE,C0379,0.0
GAE,P1000,96473.012
GAE,P1100,95635.246
GAE,P1200,837.767
GAE,S2000,123716.386
GAE,O4000XBIO,25925880.813
GAE,O4100_TOT,24308570.793
GAE,O4200,397230.013
GAE,O4300,450286.093
GAE,O4400X4410,146094.168
GAE,O4500,-29390.38
GAE,O4610,12026.058
GAE,O4620,20674.745
GAE,O4630,619862.383
GAE,O4652XR5210B,-2495239.803
GAE,O4651,-675.528
GAE,O4653,0.0
GAE,O4661XR5230B,803221.573
GAE,O4669,52500.231
GAE,O4640,797536.933
GAE,O4671XR5220B,1410953.461
GAE,O4680,-264187.162
GAE,O4691,-1870.256
GAE,O4692,-40359.646
GAE,O4695,-111785.816
GAE,O4694,61941.294
GAE,O4693,6832.604
GAE,O4699,-218340.943
GAE,G3000,16860019.408
GAE,RA000,10538097.034
GAE,RA100,1172860.368
GAE,RA500,1846.638
GAE,RA300,1553220.52
GAE,RA420,478630.046
GAE,RA410,197963.047
GAE,RA200,289689.123
GAE,R5110-5150_W6000RI,4302733.673
GAE,R5160,12133.848
GAE,R5300,704374.7
GAE,W6210,443164.934
GAE,R5210P,135815.574
GAE,R5210B,-3523.884
GAE,R5220P,613346.283
GAE,R5220B,15498.655
GAE,R5230P,0.0
GAE,R5230B,0.0
GAE,R5290,53048.077
GAE,RA600,567295.429
GAE,W6100_6220,646118.067
GAE,W6100,204232.848
GAE,W6220,441885.219
GAE,N900H,8799831.03
GAE,H8000,45667.295
GAE,E7000,86814.696
GAE,FE,51106653.519
GAE,BIOE,6323208.65
INTMARB,TOTAL,1922745.565
INTMARB,C0000X0350-0370,0.0
INTMARB,C0110,0.0
INTMARB,C0121,0.0
INTMARB,C0129,0.0
INTMARB,C0210,0.0
INTMARB,C0220,0.0
INTMARB,C0320,0.0
INTMARB,C0311,0.0
INTMARB,C0312,0.0
INTMARB,C0340,0.0
INTMARB,C0330,0.0
INTMARB,C0350-0370,0.0
INTMARB,C0360,0.0
INTMARB,C0350,0.0
INTMARB,C0371,0.0
INTMARB,C0379,0.0
INTMARB,P1000,0.0
INTMARB,P1100,0.0
INTMARB,P1200,0.0
INTMARB,S2000,0.0
INTMARB,O4000XBIO,1914765.469
INTMARB,O4100_TOT,0.0
INTMARB,O4200,0.0
INTMARB,O4300,0.0
INTMARB,O4400X4410,0.0
INTMARB,O4500,0.0
INTMARB,O4610,0.0
INTMARB,O4620,0.0
INTMARB,O4630,0.0
INTMARB,O4652XR5210B,0.0
INTMARB,O4651,0.0
INTMARB,O4653,0.0
INTMARB,O4661XR5230B,0.0
INTMARB,O4669,0.0
INTMARB,O4640,0.0
INTMARB,O4671XR5220B,471366.786
INTMARB,O4680,1437405.942
INTMARB,O4691,0.0
INTMARB,O4692,5992.623
INTMARB,O4695,0.0
INTMARB,O4694,0.0
INTMARB,O4693,0.0
INTMARB,O4699,0.12
INTMARB,G3000,5996.756
INTMARB,RA000,1983.341
INTMARB,RA100,0.0
INTMARB,RA500,0.0
INTMARB,RA300,0.0
INTMARB,RA420,0.0
INTMARB,RA410,0.0
INTMARB,RA200,0.0
INTMARB,R5110-5150_W6000RI,0.0
INTMARB,R5160,0.0
INTMARB,R5300,0.0
INTMARB,W6210,0.0
INTMARB,R5210P,0.0
INTMARB,R5210B,0.0
INTMARB,R5220P,0.0
INTMARB,R5220B,1983.341
INTMARB,R5230P,0.0
INTMARB,R5230B,0.0
INTMARB,R5290,0.0
INTMARB,RA600,0.0
INTMARB,W6100_6220,0.0
INTMARB,W6100,0.0
INTMARB,W6220,0.0
INTMARB,N900H,0.0
INTMARB,H8000,0.0
INTMARB,E7000,0.0
INTMARB,FE,1920750.884
INTMARB,BIOE,1994.681
GIC,TOTAL,68523144.597
GIC,C0000X0350-0370,7323272.422
GIC,C0110,95871.178
GIC,C0121,1494022.977
GIC,C0129,3111517.642
GIC,C0210,35830.696
GIC,C0220,2623275.338
GIC,C0320,3433.787
GIC,C0311,-21767.422
GIC,C0312,0.0
GIC,C0340,-1242.74
GIC,C0330,-17669.033
GIC,C0350-0370,0.0
GIC,C0360,0.0
GIC,C0350,0.0
GIC,C0371,0.0
GIC,C0379,0.0
GIC,P1000,96473.012
GIC,P1100,95635.246
GIC,P1200,837.767
GIC,S2000,123716.386
GIC,O4000XBIO,24011115.345
GIC,O4100_TOT,24308570.793
GIC,O4200,397230.013
GIC,O4300,450286.093
GIC,O4400X4410,146094.168
GIC,O4500,-29390.38
GIC,O4610,12026.058
GIC,O4620,20674.745
GIC,O4630,619862.383
GIC,O4652XR5210B,-2495239.803
GIC,O4651,-675.528
GIC,O4653,0.0
GIC,O4661XR5230B,803221.573
GIC,O4669,52500.231
GIC,O4640,797536.933
GIC,O4671XR5220B,939586.677
GIC,O4680,-1701593.102
GIC,O4691,-1870.256
GIC,O4692,-46352.27
GIC,O4695,-111785.816
GIC,O4694,61941.294
GIC,O4693,6832.604
GIC,O4699,-218341.063
GIC,G3000,16854022.653
GIC,RA000,10536113.694
GIC,RA100,1172860.368
GIC,RA500,1846.638
GIC,RA300,1553220.52
GIC,RA420,478630.046
GIC,RA410,197963.047
GIC,RA200,289689.123
GIC,R5110-5150_W6000RI,4302733.673
GIC,R5160,12133.848
GIC,R5300,704374.7
GIC,W6210,443164.934
GIC,R5210P,135815.574
GIC,R5210B,-3523.884
GIC,R5220P,613346.283
GIC,R5220B,13515.314
GIC,R5230P,0.0
GIC,R5230B,0.0
GIC,R5290,53048.077
GIC,RA600,567295.429
GIC,W6100_6220,646118.067
GIC,W6100,204232.848
GIC,W6220,441885.219
GIC,N900H,8799831.03
GIC,H8000,45667.295
GIC,E7000,86814.696
GIC,FE,49185902.631
GIC,BIOE,6321213.969
INTAVI,TOTAL,2250745.744
INTAVI,C0000X0350-0370,0.0
INTAVI,C0110,0.0
INTAVI,C0121,0.0
INTAVI,C0129,0.0
INTAVI,C0210,0.0
INTAVI,C0220,0.0
INTAVI,C0320,0.0
INTAVI,C0311,0.0
INTAVI,C0312,0.0
INTAVI,C0340,0.0
INTAVI,C0330,0.0
INTAVI,C0350-0370,0.0
INTAVI,C0360,0.0
INTAVI,C0350,0.0
INTAVI,C0371,0.0
INTAVI,C0379,0.0
INTAVI,P1000,0.0
INTAVI,P1100,0.0
INTAVI,P1200,0.0
INTAVI,S2000,0.0
INTAVI,O4000XBIO,2250745.744
INTAVI,O4100_TOT,0.0
INTAVI,O4200,0.0
INTAVI,O4300,0.0
INTAVI,O4400X4410,0.0
INTAVI,O4500,0.0
