nrg_bal,siec,OBS_VAL
PPRD,TOTAL,1549915.55
PPRD,C0000X0350-0370,0.0
PPRD,C0110,0.0
PPRD,C0121,0.0
PPRD,C0129,0.0
PPRD,C0210,0.0
PPRD,C0220,0.0
PPRD,C0320,0.0
PPRD,C0311,0.0
PPRD,C0312,0.0
PPRD,C0340,0.0
PPRD,C0330,0.0
PPRD,C0350-0370,0.0
PPRD,C0360,0.0
PPRD,C0350,0.0
PPRD,C0371,0.0
PPRD,C0379,0.0
PPRD,P1000,4437.5
PPRD,P1100,4437.5
PPRD,P1200,0.0
PPRD,S2000,0.0
PPRD,O4000XBIO,0.0
PPRD,O4100_TOT,0.0
PPRD,O4200,0.0
PPRD,O4300,0.0
PPRD,O4400X4410,0.0
PPRD,O4500,0.0
PPRD,O4610,0.0
PPRD,O4620,0.0
PPRD,O4630,0.0
PPRD,O4652XR5210B,0.0
PPRD,O4651,0.0
PPRD,O4653,0.0
PPRD,O4661XR5230B,0.0
PPRD,O4669,0.0
PPRD,O4640,0.0
PPRD,O4671XR5220B,0.0
PPRD,O4680,0.0
PPRD,O4691,0.0
PPRD,O4692,0.0
PPRD,O4695,0.0
PPRD,O4694,0.0
PPRD,O4693,0.0
PPRD,O4699,0.0
PPRD,G3000,0.0
PPRD,RA000,834978.598
PPRD,RA100,235335.6
PPRD,RA500,0.0
PPRD,RA300,71449.2
PPRD,RA420,2444.4
PPRD,RA410,446.0
PPRD,RA200,0.0
PPRD,R5110-5150_W6000RI,395970.0
PPRD,R5160,0.0
PPRD,R5300,7600.0
PPRD,W6210,32350.0
PPRD,R5210P,4463.256
PPRD,R5210B,0.0
PPRD,R5220P,13540.422
PPRD,R5220B,0.0
PPRD,R5230P,0.0
PPRD,R5230B,0.0
PPRD,R5290,3052.72
PPRD,RA600,68327.0
PPRD,W6100_6220,30605.0
PPRD,W6100,744.0
PPRD,W6220,29861.0
PPRD,N900H,679894.452
PPRD,H8000,0.0
PPRD,E7000,0.0
PPRD,FE,35042.5
PPRD,BIOE,456976.398
RCV_RCY,TOTAL,0.0
RCV_RCY,C0000X0350-0370,0.0
RCV_RCY,C0110,0.0
RCV_RCY,C0121,0.0
RCV_RCY,C0129,0.0
RCV_RCY,C0210,0.0
RCV_RCY,C0220,0.0
RCV_RCY,C0320,0.0
RCV_RCY,C0311,0.0
RCV_RCY,C0312,0.0
RCV_RCY,C0340,0.0
RCV_RCY,C0330,0.0
RCV_RCY,C0350-0370,0.0
RCV_RCY,C0360,0.0
RCV_RCY,C0350,0.0
RCV_RCY,C0371,0.0
RCV_RCY,C0379,0.0
RCV_RCY,P1000,0.0
RCV_RCY,P1100,0.0
RCV_RCY,P1200,0.0
RCV_RCY,S2000,0.0
RCV_RCY,O4000XBIO,0.0
RCV_RCY,O4100_TOT,0.0
RCV_RCY,O4200,0.0
RCV_RCY,O4300,0.0
RCV_RCY,O4400X4410,0.0
RCV_RCY,O4500,0.0
RCV_RCY,O4610,0.0
RCV_RCY,O4620,0.0
RCV_RCY,O4630,0.0
RCV_RCY,O4652XR5210B,0.0
RCV_RCY,O4651,0.0
RCV_RCY,O4653,0.0
RCV_RCY,O4661XR5230B,0.0
RCV_RCY,O4669,0.0
RCV_RCY,O4640,0.0
RCV_RCY,O4671XR5220B,0.0
RCV_RCY,O4680,0.0
RCV_RCY,O4691,0.0
RCV_RCY,O4692,0.0
RCV_RCY,O4695,0.0
RCV_RCY,O4694,0.0
RCV_RCY,O4693,0.0
RCV_RCY,O4699,0.0
RCV_RCY,G3000,0.0
RCV_RCY,RA000,0.0
RCV_RCY,RA100,0.0
RCV_RCY,RA500,0.0
RCV_RCY,RA300,0.0
RCV_RCY,RA420,0.0
RCV_RCY,RA410,0.0
RCV_RCY,RA200,0.0
RCV_RCY,R5110-5150_W6000RI,0.0
RCV_RCY,R5160,0.0
RCV_RCY,R5300,0.0
RCV_RCY,W6210,0.0
RCV_RCY,R5210P,0.0
RCV_RCY,R5210B,0.0
RCV_RCY,R5220P,0.0
RCV_RCY,R5220B,0.0
RCV_RCY,R5230P,0.0
RCV_RCY,R5230B,0.0
RCV_RCY,R5290,0.0
RCV_RCY,RA600,0.0
RCV_RCY,W6100_6220,0.0
RCV_RCY,W6100,0.0
RCV_RCY,W6220,0.0
RCV_RCY,N900H,0.0
RCV_RCY,H8000,0.0
RCV_RCY,E7000,0.0
RCV_RCY,FE,0.0
RCV_RCY,BIOE,0.0
IMP,TOTAL,1289793.495
IMP,C0000X0350-0370,81655.28
IMP,C0110,0.0
IMP,C0121,45780.0
IMP,C0129,23070.8
IMP,C0210,0.0
IMP,C0220,0.0
IMP,C0320,0.0
IMP,C0311,12804.48
IMP,C0312,0.0
IMP,C0340,0.0
IMP,C0330,0.0
IMP,C0350-0370,0.0
IMP,C0360,0.0
IMP,C0350,0.0
IMP,C0371,0.0
IMP,C0379,0.0
IMP,P1000,866.98
IMP,P1100,866.98
IMP,P1200,0.0
IMP,S2000,0.0
IMP,O4000XBIO,1056311.8
IMP,O4100_TOT,689374.511
IMP,O4200,0.0
IMP,O4300,42076.044
IMP,O4400X4410,137.857
IMP,O4500,0.0
IMP,O4610,0.0
IMP,O4620,20742.588
IMP,O4630,56772.252
IMP,O4652XR5210B,27093.24
IMP,O4651,52.314
IMP,O4653,0.0
