geo_id,input_buildings_heat_demand_reduction
GM0003,0.46
GM0005,0.31
GM0009,0.31
GM0010,0.46
GM0014,0.46
GM0015,0.46
GM0017,0.46
GM0022,0.46
GM0024,0.31
GM0025,0.46
GM0034,0.54
GM0037,0.46
GM0047,0.46
GM0050,0.54
GM0053,0.46
GM0056,0.46
GM0058,0.46
GM0059,0.46
GM0060,0.31
GM0072,0.46
GM0074,0.46
GM0079,0.31
GM0080,0.46
GM0085,0.46
GM0086,0.46
GM0088,0.31
GM0090,0.46
GM0093,0.31
GM0096,0.46
GM0098,0.46
GM0106,0.46
GM0109,0.46
GM0114,0.46
GM0118,0.46
GM0119,0.46
GM0141,0.46
GM0147,0.46
GM0148,0.46
GM0150,0.46
GM0153,0.46
GM0158,0.46
GM0160,0.31
GM0163,0.46
GM0164,0.46
GM0166,0.46
GM0168,0.46
GM0171,0.46
GM0173,0.46
GM0175,0.46
GM0177,0.46
GM0180,0.46
GM0183,0.46
GM0184,0.46
GM0189,0.46
GM0193,0.46
GM0197,0.46
GM0200,0.46
GM0202,0.46
GM0203,0.46
GM0209,0.46
GM0213,0.31
GM0214,0.46
GM0216,0.46
GM0221,0.46
GM0222,0.46
GM0225,0.46
GM0226,0.54
GM0228,0.46
GM0230,0.46
GM0232,0.46
GM0233,0.46
GM0236,0.46
GM0243,0.46
GM0244,0.31
GM0246,0.46
GM0252,0.46
GM0262,0.46
GM0263,0.46
GM0267,0.46
GM0268,0.31
GM0269,0.46
GM0273,0.46
GM0274,0.31
GM0275,0.31
GM0277,0.0
GM0279,0.46
GM0281,0.46
GM0285,0.46
GM0289,0.46
GM0293,0.46
GM0294,0.46
GM0296,0.46
GM0297,0.46
GM0299,0.46
GM0301,0.31
GM0302,0.46
GM0303,0.46
GM0304,0.46
GM0307,0.46
GM0308,0.46
GM0310,0.46
GM0312,0.46
GM0313,0.46
GM0317,0.46
GM0321,0.54
GM0327,0.46
GM0331,0.46
GM0335,0.46
GM0339,0.46
GM0340,0.46
GM0342,0.46
GM0344,0.46
GM0345,0.46
GM0351,0.46
GM0352,0.46
GM0353,0.46
GM0355,0.31
GM0356,0.54
GM0358,0.46
GM0361,0.46
GM0362,0.46
GM0363,0.46
GM0370,0.46
GM0373,0.46
GM0375,0.46
GM0376,0.46
GM0377,0.31
GM0383,0.46
GM0384,0.46
GM0385,0.46
GM0388,0.31
GM0392,0.31
GM0393,0.31
GM0394,0.54
GM0396,0.46
GM0397,0.31
GM0398,0.54
GM0399,0.46
GM0400,0.46
GM0402,0.46
GM0405,0.46
GM0406,0.46
GM0415,0.46
GM0416,0.46
GM0417,0.31
GM0420,0.46
GM0431,0.54
GM0432,0.46
GM0437,0.46
GM0439,0.46
GM0441,0.46
GM0448,0.46
GM0450,0.31
GM0451,0.46
GM0453,0.31
GM0457,0.46
GM0473,0.31
GM0479,0.46
GM0482,0.46
GM0484,0.46
GM0489,0.54
GM0498,0.46
GM0501,0.46
GM0502,0.46
GM0503,0.46
GM0505,0.46
GM0512,0.46
GM0513,0.46
GM0518,0.46
GM0523,0.46
GM0530,0.46
GM0531,0.46
GM0532,0.46
GM0534,0.46
GM0537,0.46
GM0542,0.46
GM0545,0.46
GM0546,0.46
GM0547,0.46
GM0553,0.46
GM0556,0.46
GM0569,0.46
GM0575,0.46
GM0576,0.46
GM0579,0.46
