geo_id,agriculture_final_demand_local_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share,agriculture_final_demand_central_steam_hot_water_agriculture_final_demand_steam_hot_water_child_share
AT,0.0,1.0
CZ,0.0,1.0
HR,0.0,1.0
HU,0.0,1.0
LU,0.0,1.0
SK,0.0,1.0
SE,0.0,1.0
UK,0.0,1.0
FI,0.0,1.0
EL,0.0,1.0
IT,0.0,1.0
ES,0.0,1.0
FR,0.0,1.0
IE,0.0,1.0
DK,0.0,1.0
DE,0.0,1.0
EE,0.0,1.0
PT,0.0,1.0
NL,0.0,1.0
CY,0.0,1.0
PL,0.0,1.0
LV,0.0,1.0
BG,0.0,1.0
RO,0.0,1.0
BE,0.0,1.0
MT,0.0,1.0
SI,0.0,1.0
LT,0.0,1.0
EU27,0.0,1.0
SG,0.0,1.0
