geo_id,area_per_building_residence_equivalent
PV20,130.0
PV21,130.0
PV22,130.0
PV23,130.0
PV24,130.0
PV25,130.0
PV26,130.0
PV27,130.0
PV27_2022,130.0
PV28,130.0
PV29,130.0
PV30,130.0
PV31,130.0
ES01,130.0
ES02,130.0
ES03,130.0
ES04,130.0
ES05,130.0
ES06,130.0
ES07,130.0
ES08,130.0
ES09,130.0
ES10,130.0
ES11,130.0
ES12,130.0
ES13,130.0
ES14,130.0
ES15,130.0
ES16,130.0
ES17,130.0
ES18,130.0
ES19,130.0
ES20,130.0
ES21,130.0
ES22,130.0
ES23,130.0
ES24,130.0
ES25,130.0
ES26,130.0
ES27,130.0
ES28,130.0
ES29,130.0
ES30,130.0
