geo_id,households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_hot_water_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_space_heating_network_gas_parent_share,households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_hot_water_steam_hot_water_parent_share,input_households_final_demand_steam_hot_water_households_final_demand_for_space_heating_steam_hot_water_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_air_water_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_ground_water_electricity_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_combined_network_gas_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_network_gas_parent_share,households_final_demand_for_space_heating_network_gas_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_combined_network_gas_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_network_gas_parent_share,households_final_demand_for_hot_water_network_gas_households_water_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_resistive_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_hybrid_heatpump_air_water_electricity_parent_share,households_final_demand_for_hot_water_electricity_households_water_heater_heatpump_ground_water_electricity_parent_share
GM0014,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0034,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0037,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0047,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0050,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0059,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0060,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0072,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0074,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0080,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0085,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0086,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0088,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0090,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0093,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0096,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0098,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0106,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0109,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0114,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0118,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0119,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0141,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0147,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0148,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0150,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0153,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0158,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0160,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0163,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0164,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0166,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0168,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0171,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0173,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0175,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0177,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0180,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0183,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
GM0184,0.037167618,0.017699457,0.032338814,0.098531517,0.176496687,0.637765907,0.02398274,0.2816303,0.69438696,0,0.438476899,0.561523101,0.518304995,0.383243045,0.038124202,0.060327758,0.996779566,0,0.003220434,0.992198732,0,0.007801268,0.236506747,0.652366326,0,0.111126927
